Job_Title,Department,Min_Pay,Max_Pay,Min_Hours,Max_Hours,Job_Desc,Address,Phone_Number,Employer
clerical,Medical Campus,9.00,10.00,10,14,"Job entails administrative duties to support the office of Education and  Training, assisting with scheduling, preparing forms and folders, preparing  to help with events, requisitions and reimbursements, assisting with travel  arrangements, and setting up meetings. ","37-K        Office of Student Employment Coral Gables, FL 33124 5250",(305)284-6641,"SCHOOL OF EDUCATION, Jackie Ojeda "
esearch Assistant,Student Activities,9.00,9.00,10,14,"Research assistant will work with the Cuban Theater Digital Archive  inputting and editing information on a database. Students will also  in the research, editing and writing of entries and essays on Cuban  and Cuban American theater.  Please contact Lillian Manzor Telephone number: 305-284-5585  E-mail: lmanzor@miami.edu ","210.07 Merrick, College of A&S -FAC, 5202 University Dr, Coral Gables, FL 33146",3052484858 Ext.7314,"DR Lillian Manzor, Department of MODERN LANGUAGES & LITERATURES"
Federal Work Study Position,Administrative Offices,8.05,8.05,10,14,"Student employee needed for the following duties; Data entry, data  processing, email communication, organizing files (paper and electronic),  answering phones, visiting various academic and offices on campus, picking  up and delivering interoffice and postal mail.  Please contact Judith Pinon-Menendez Telephone number: (305) 282-2711  E-mail: jxp424@miami.edu ","216.02 Merrick Enrollment Mgmt - Office of In 5202 University Dr Coral Gables, FL 33146",(305)284-5863 Ext.,"MS Judith Pinon-Menendez, Department of OFFICE OF INTERNATIONAL ADMISS"
Federal Work Study Position,Student Activities,8.05,8.05,10,14,"Student employee needed for the following duties; Data entry, data  processing, email communication, organizing files (paper and electronic),  answering phones, visiting various academic and offices on campus, picking  up and delivering interoffice and postal mail.  Please contact Judith Pinon-Menendez Telephone number: (305) 282-2711  E-mail: jxp424@miami.edu ","216.02 Merrick         Enrollment Mgmt - Office of In 5202 University Dr Coral Gables, FL 33146",(305)284-5863,"MS Judith Pinon-Menendez, Department of OFFICE OF INTERNATIONAL ADMISS"
File Clerk,Student Activities,8.05,8.05,10,14,Student Employee needed for the following duties; Filing documents and  creating new file folders. Occasional phone work or other light tasks.  Please Contact: Beverly Golden Telephone number: 305-284-4502  Email: bgolden@miami.edu ,"1235J Gables One Tower        Treasurer - Treasury Operation 1320 S Dixie Hwy Coral Gables, FL 33146 2926",305)284-4502 ,"MRS Beverly Golden, Department of OFFICE OF THE TREASURER"
OMC-Classroom Support Help Desk,Administrative Offices,9.00,9.00,10,14,"Office of Classroom Management is seeking a student employee for the  following duties; answering the audio visual helpdesk phone and taking  messages for problems that need furthur attention. Providing assistance to  faculty who need further attention within the General Purpose Classroom  on the Coral Gables Campus. Other duties include performing GPC room check,  assisting full-time OCM-Classroom Support staff with projects, and  restocking basic classroom supplies as needed. Please Contact: Iris Barrios  Telephone Number: (305) 284-8156 Email: ibarrios@miami.edu ","101 Modular A	 University Registrar -STA 1307 Stanford Dr Coral Gables, FL 33146",(305)284-9384 Ext.,"Ms Iris Barrios, Department of SR VICE PROVOST-UNDERGRADUATE"
Operations Assistant,Administrative Offices,8.50,8.50,10,14,"The Operations Assistant aides the Supervisor on duty with the performance  of any and all tasks as assigned. This could include moving and  re-arranging furniture, organizing rooms and perhaps setting up audio-  visual equipment. Must be able to work nights, mornings and/or weekends  and lift moderate weights.  Please contact Nick Rau or Lazaro Rodriguez Telephone number:  (305) 284-2319 E-mail: laz@miami.edu ","2300D Whitten UC	 STU AFFRS - Stu Ctr Complex - 1306 Stanford Dr Coral Gables, FL 33146",(305)284-2398 Ext.,"MR Nicholas Rau, Department of UNIVERSITY CENTER"
Receptionist,Administrative Offices,9.00,9.00,10,14,"We are seeking a receptionist for the following duties; greeting all  clients, research participants, visitors and assist them with parking.  Send and answer emails, incoming calls, and take messages. Scheduling  appointments using the Google Calendar. Data entry, preparing charts,  filing, copying, scanning, stocking documents, conduct minor inventory,  and shredding documents. Assist all practicum students, faculty, and  staff when necessary. Bilingual (Eng/Spa) preferred but not mandatory.  Please contact Carmen X. Ortega E-mail: c.ortega1@miami.edu ","266 Flipse College of A&S - Psychology 13 5665 Ponce De Leon Blvd Coral Gables, FL 33146 2510",(305)284-4265 Ext.0,"Ms Carmen Ortega, Department of PSYCHOLOGY"
Receptionist,Student Activities,9.00,9.00,10,14,"We are seeking a receptionist for the following duties; greeting all clients, research participants, visitors and assist them with parking. Send and answer emails, incoming calls, and take messages. Scheduling appointments using the Google Calendar. Data entry, preparing charts, filing, copying, scanning, stocking documents, conduct minor inventory, and shredding documents. Assist all practicum students, faculty, and staff when necessary. Bilingual (Eng/Spa) preferred but not mandatory. Please contact Carmen X. Ortega E-mail: c.ortega1@miami.edu","266 Flipse, College of A&S - Psychology 13, 5665 Ponce De Leon Blvd, Coral Gables, FL 33146 2510",3052844265,"Ms Carmen Ortega, Department of PSYCHOLOGY"
Research Assistant,Student Activities,8.50,10.00,10,14,"Student Employee needed for the following duties;use basic internet  research skills to find contact information for a number of municipal  governments,contact those governments to request certain forms and  documents,to keep track of the contacts requests, collect  forms and documents as they are provided by the municipal governments, and  to catalog or file the documents online using the UM BOX program.  Please Contact: Jennifer Connolly Telephone Number:(305) 284-4232  Email: jmconnolly@miami.edu ","160C 1300 Campo Sano         College of A&S - Political Sci 1300 Campo Sano Ave Coral Gables, FL 33146",(305)284-2401,"MS Jennifer Connolly, Department of POLITICAL SCIENCE"
student assisant,Schools and Libraries,8.60,9.00,10,14,"General office work including telephone assistance, filing, computer access  data lookup and data entry, good communications, excellent time management  and detail work in admission process. Applicant should not be applying to  Law School at UM.  Shakira Valle Telephone number: 305-284-6746  E-mail: s.valle@law.miami.edu ","F203 Law Classroom (F)	 Law Admissions - Student Recru 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-6746,"LAW SCHOOL, Shakira Valle"
student assisant,Other,8.60,8.60,10,14,"General office work including telephone assistance, filing, computer access  data lookup and data entry, good communications, excellent time management  and detail work in admission process. Applicant should not be applying to  Law School at UM.  Shakira Valle Telephone number: 305-284-6746  E-mail: s.valle@law.miami.edu ","F203 Law Classroom (F)	 Law Admissions - Student Recru 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-6746,"LAW SCHOOL, Shakira Valle"
Student Assistant,Administrative Offices,12.00,12.00,10,14,"We are currently looking for a student assistant with federal work study  money to assist our office. The job requires for the student to have  working knowledge of Microsoft Office. Duties include making copies,  running errands and filing documents.  Please contact Donner Valle Telephone number: 305-284-2425  E-mail: dvalle@miami.edu ","219D Merrick	 Teaching & Learning 3 -STA 5202 University Dr Coral Gables, FL 33146",(305)284-2425 Ext.,"MS Maria Riedmiller, Department of VP REAL ESTATE & FACILITIES"
Student Assistant,Administrative Offices,10.99,10.99,10,14,"We are seeking a student employee for the following duties; Listen and  transcribe classroom conversations and interviews.  For more info, please contact Vanessa Enrizo Telephone number:  (305) 284-3413 E-mail: l.barthcohen@miami.edu ","319F Merrick	 School of Education - HR -STA 5202 University Dr Coral Gables, FL 33146",(305)284-4341 Ext.,"MRS Sheri Virok, Department of BENEFITS ADMINISTRATION"
Student Assistant,Administrative Offices,10.00,10.00,10,14,Department of Finance seeking a student employee for the following duties;  assisting department office manager with day-to-day administrative tasks.  Assisting faculty with preparing class and/or research materials.  Please Contact: Michelle Mederos Telephone Number: 305-284-4362  Email: mmederos@miami.edu ,"514 Jenkins	 SBA - Finance -STA 5250 University Dr Coral Gables, FL 33146 2000",(305)284-4362 Ext.,"MS Andrea Rachelle Santos, Department of OPHTHALMOLOGY"
Student Assistant,Schools and Libraries,10.00,10.00,10,14,"We are currently looking for a student assistant with federal work study  money to assist our office. The job requires for the student to have  working knowledge of Microsoft Office. Duties include making copies,  running errands and filing documents.  Please contact Donner Valle Telephone number: 305-284-2425  E-mail: dvalle@miami.edu ","219D Merrick Teaching & Learning 3 -STA 5202 University Dr Coral Gables, FL 33146",(305)284-2425 Ext.,"MR Donner Valle, Department of OFFICE OF THE DEAN, SCHOOL OF"
Student Assistant,Student Activities,8.50,10.00,10,14,"We are seeking a student employee with excellent customer service skills  (phone and in person). Organizational skills are also required for  assistance with various outreach events. Must have a good working knowledge  of Microsoft office programs. Photoshop experience or willing to learn a  plus.  For more info, please contact Suelyn Chong Telephone number: (305)284-5511  E-mail: s.chong@miami.edu ","Floor 01 Ashe Administration, STU AFFRS - Counseling Ctr - A - 1252 Memorial Dr, Coral Gables, FL 33146 2509",3052843091,"MR David Lecon, Department of GRADUATE BUSINESS PROGRAMS"
Student Assistant,Student Activities,8.50,10.00,10,14,"We are seeking a student employee for the following duties; Basic clerical,  reception and /or office duties.  Must be bilingual (Spanish & English).  For more info, please contact Asma Aftab Telephone number: 305-243-2847  E-mail: lwhitehead@miami.edu ","470 JMH-Highland Prof        (305)243-2847 Ext.2880 MSOM - Family Medicine & Commu 1801 NW 9th Ave Miami, FL 33136 1101",(305)243-2847 Ext.2880,"MS Kathy Raymond, Department of MEDICINE"
Student Assistant,Student Activities,8.50,10.00,10,14,"We are currently looking for a student assistant with federal work study  money to assist our office. The job requires for the student to have  working knowledge of Microsoft Office. Duties include making copies,  running errands and filing documents.  Please contact Donner Valle Telephone number: 305-284-2425  E-mail: dvalle@miami.edu ","219D Merrick        (305)284-2425 Ext. Teaching & Learning 3 -STA 5202 University Dr Coral Gables, FL 33146",(305)284-2425 ,"MS Joyce Sadler, Department of PSYCHIATRY & BEHAVIORAL SCIENC"
student assistant,Student Activities,8.50,10.00,10,14,"Department of Real Estate and Facilities seeking a student with flexibility  , great organizational skills, drive and great work ethic to work on  special projects, perform basic research and answer phones for multiple  departments. The student will be required to perform general office  clerical duties, including data entry, data analytics, research, and  special projects as assigned.  Please Contact: Debbie Riedmiller Telephone Number: 305 284-5660  E-mail: DRiedmiller@miami.edu ","204 1535 Levante        Real Estate & Facilities - Bus 1535 Levante Ave Coral Gables, FL 33146 2416",(305)284-5314,"SCHOOL OF EDUCATION, Ana Aguilar"
student assistant,Student Activities,8.50,10.00,10,14,"Student Employee needed for the following duties; performing general  office clerical duties, such as data entry, data analytics, answering phone  calls for multiple departments, research and special projects as assigned.  The student will be required to have flexibility, great organizational  skills, drive and great work ethic.Please Contact: Debbie Riedmiller  Telephone Number: (305) 284-5660 Email: DRiedmiller@miami.edu ","204 1535 Levante        Real Estate & Facilities - Bus 1535 Levante Ave Coral Gables, FL 33146 2416",(305)284-5314 ,"SCHOOL OF EDUCATION, Viena Perez"
Student Assistant,Other,8.05,10.99,10,14,"We are currently looking for a student assistant with federal work study  money to assist our office. The job requires for the student to have  working knowledge of Microsoft Office. Duties include making copies,  running errands and filing documents.  Please contact Donner Valle Telephone number: 305-284-2425  E-mail: dvalle@miami.edu ","219D Merrick Teaching & Learning 3 -STA 5202 University Dr Coral Gables, FL 33146",(305)284-2425 Ext.,"MRS Maria Serrano, Department of LAW LIBRARY"
Student Office Assistant,Student Activities,8.05,8.05,10,14,"Student employee needed to assist our manager with office duties: Such as filing, clerical, spreadsheets, copying, etc. Must have experience with Microsoft Office. For more info, please contact Luz Solano-Cutie Telephone number: 305-284-2601 E-mail: lcutie@miami.edu","403.07 Schwartz Nursing/HS, School of Nursing, Academic P, 5030 Brunson Dr, Coral Gables, FL 33146",3052842601,"Ms Luz Maria Solano Cutie, Department of SCHOOL OF NURSING AND HEALTH S"
Undergraduate Research Assistant,Administrative Offices,10.00,10.00,10,14,"Undergraduate Research Assistant needed for the following duties;  Collection of water samples at the University Village UM Autonomous  Net-Zero Water project, delivery to Engineering, and/or laboratory analysis  of the water samples, as a part of a student team. Students will be trained  and will receive valuable hands-on experience. Some chemical lab experience  necessary for water analysis but not for sampling tasks. Other tasks as  needed may include help with website maintenance and outreach.  Please email: jenglehardt@miami.edu www.miami.edu/netzerowaterdorm ","321 McArthur Eng CoE - Civil Arch & Env Enginee 1251 Memorial Dr Coral Gables, FL 33146 2509",(305)284-5557 Ext.,"DR James Englehardt, Department of CIVIL, ARCHITECTURAL & ENV ENG"
Undergraduate Research Assistant,Student Activities,10.00,10.00,10,14,"Undergraduate Research Assistant needed for the following duties; Collection of water samples at the University Village UM Autonomous Net-Zero Water project, delivery to Engineering, and/or laboratory analysis of the water samples, as a part of a student team. Students will be trained and will receive valuable hands-on experience. Some chemical lab experience necessary for water analysis but not for sampling tasks. Other tasks as needed may include help with website maintenance and outreach. Please email: jenglehardt@miami.edu www.miami.edu/netzerowaterdorm","321 McArthur Eng, CoE - Civil Arch & Env Enginee, 1251 Memorial Dr, Coral Gables, FL 33146 2509",3052855557,"DR James Englehardt, Department of CIVIL, ARCHITECTURAL & ENV ENG"
Videographer/Video Editor,Student Activities,9.00,9.00,10,14,"Student employee needed for the following duties; Filming and editing  filmed theatrical productions. Digitizing VHS tapes, rendering, and  uploading to a video-streaming server. database entry.  Filming in the evenings and week-ends once a month.  Spanish-English bilingual preferred.  Please contact Lillian Manzor Telephone number: (305) 284-5585  E-mail: lmanzor@miami.edu ","201.07 Merrick, College of A&S -FAC, 5202 University Dr, Coral Gables, FL 33146",3052844858 Ext.7314,"DR Lillian Manzor, Department of MODERN LANGUAGES & LITERATURES"
Web,Administrative Offices,9.00,9.00,10,14,"We are looking for one or more web/researchers to be able to find and add  content to several websites using Drupal and Word Press. The fields are  in local waterfront planning, casino gambling, local politics, and  disability training for young adults. the sites in include  www.naturelinks.net, www.floridacommunitystudies.org and  www.commonsensemiami.com Special Request - videographers who can shoot and  /or edit oral history material. Please contact: Gregory Bush  Phone number: 305-284-6406, 305-926-5001 email: gbush@miami.edu (03) ","609 Ashe Administration College of A&S - History -FAC 1252 Memorial Dr Coral Gables, FL 33146 2509",(305)284-6406 Ext.,"MR Gregory Bush, Department of HISTORY"
Web,Schools and Libraries,9.00,9.00,10,14,"We are looking for one or more web/researchers to be able to find and add  content to several websites using Drupal and Word Press. The fields are  in local waterfront planning, casino gambling, local politics, and  disability training for young adults. the sites in include  www.naturelinks.net, www.floridacommunitystudies.org and  www.commonsensemiami.com Special Request - videographers who can shoot and  /or edit oral history material. Please contact: Gregory Bush  Phone number: 305-284-6406, 305-926-5001 email: gbush@miami.edu (03) ","609 Ashe Administration Ext. College of A&S - History -FAC 1252 Memorial Dr Coral Gables, FL 33146 2509 ",	(305)284-6406,"MR Gregory Bush, Department of HISTORY"
web,Student Activities,9.00,9.00,10,14,"We are looking for one or more web/researchers to be able to find and add content to several websites using Drupal and Word Press. The fields are in local waterfront planning, casino gambling, local politics, and disability training for young adults. the sites in include www.naturelinks.net, www.floridacommunitystudies.org and www.commonsensemiami.com Special Request - videographers who can shoot and /or edit oral history material. Please contact: Gregory Bush  Phone number: 305-284-6406, 305-926-5001 email: gbush@miami.edu (03) ","609 Ashe Administration, College of A&S - History -FAC, 1252 Memorial Dr, Coral Gables, FL 33146 2509",3052846406,"HISTORY, Gregory Bush"
web,Other,9.00,9.00,10,14,"We are looking for one or more web/researchers to be able to find and add  content to several websites using Drupal and Word Press. The fields are  in local waterfront planning, casino gambling, local politics, and  disability training for young adults. the sites in include  www.naturelinks.net, www.floridacommunitystudies.org and  www.commonsensemiami.com Special Request - videographers who can shoot and  /or edit oral history material. Please contact: Gregory Bush  Phone number: 305-284-6406, 305-926-5001 email: gbush@miami.edu (03) ","609 Ashe Administration Ext. College of A&S - History -FAC 1252 Memorial Dr Coral Gables, FL 33146 2509 ",	(305)284-6406,"HISTORY, Gregory Bush"
Work Study Research Assistant,Administrative Offices,12.00,12.00,10,14,"The Neurology Department is looking for a student to work together with  Dr. Michael Benatar and his clinical research team in the Neuromuscular  division, to provide project-related support for staff on various neuro-  muscular studies. Responsibilities will include but not be limited to  accurately reconciling sample labels, consenting research participants,  updating study charts & entering data into our various research databases.  Graduate School preferred. Must have FWS eligibility. Job is located on the  medical campus. Please contact Joaquin E-mail: jdelcueto@med.miami.edu","1306 Soffer Family CRC	 MSOM - Neurology - Neuromuscul 1120 NW 14th St Miami, FL 33136 2107",(305)243-2875 Ext.,"MR Joaquin Del Cueto, Department of NEUROLOGY"
Work Study Research Assistant,Student Activities,12.00,12.00,10,14,"The Neurology Department is looking for a student to work together with  Dr. Michael Benatar and his clinical research team in the Neuromuscular  division, to provide project-related support for staff on various neuro-  muscular studies. Responsibilities will include but not be limited to  accurately reconciling sample labels, consenting research participants,  updating study charts & entering data into our various research databases.  Graduate School preferred. Must have FWS eligibility. Job is located on the  medical campus. Please contact Joaquin E-mail: jdelcueto@med.miami.edu ","1306 Soffer Family CRC        MSOM - Neurology - Neuromuscul 1120 NW 14th St Miami, FL 33136 2107",(305)243-2875,"MR Joaquin Del Cueto, Department of NEUROLOGY"
Operations Assistant,Student Activities,8.50,8.50,10,14,"The Operations Assistant aides the Supervisor on duty with the performance  of any and all tasks as assigned. This could include moving and  re-arranging furniture, organizing rooms and perhaps setting up audio-  visual equipment. Must be able to work nights, mornings and/or weekends  and lift moderate weights.  Please contact Nick Rau or Lazaro Rodriguez Telephone number:  (305) 284-2319 E-mail: laz@miami.edu ","2300D Whitten UC         STU AFFRS - Stu Ctr Complex - 1306 Stanford Dr Coral Gables, FL 33146",(305)284-2398,"MR Nicholas Rau, Department of UNIVERSITY CENTER"
Research Assistant,Administrative Offices,10.00,10.00,10,14,"Research assistant will work with the Cuban Theater Digital Archive  inputting and editing information on a database. Students will also  in the research, editing and writing of entries and essays on Cuban  and Cuban American theater.  Please contact Lillian Manzor Telephone number: 305-284-5585  E-mail: lmanzor@miami.edu ","210.07 Merrick	 College of A&S -FAC 5202 University Dr Coral Gables, FL 33146",(305)284-4858 Ext.7314,"MR Christopher Chung, Department of SCHOOL OF ARCHITECTURE"
